claim,schedule,seed_lane,stream_seed,d,n,T,beta1,beta2,eta,B0,avg_grad_l1,avg_grad_l2
4,paper,8,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.08899614253201785,0.01902662364902477
4,paper,9,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.09118150870223934,0.020437661952743366
4,paper,10,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.09453869134611585,0.020924247778257524
4,paper,11,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.08769770544723876,0.019144954669419043
4,paper,12,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.09764180472129066,0.02252814380356499
4,paper,13,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.08826775848174234,0.01909145260601092
4,paper,14,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.0976105339071355,0.02104106809728506
4,paper,15,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.08658906654685489,0.01830766376013484
4,paper,0,8054976080300763169,32,8,512,0.015625000000000003,0.015625000000000003,0.002762135864009952,2,0.06716729314292791,0.014978812360756277
4,paper,1,8054976080300763169,32,8,512,0.015625000000000003,0.015625000000000003,0.002762135864009952,2,0.06469325595414768,0.014705341599691125
4,paper,2,8054976080300763169,32,8,512,0.015625000000000003,0.015625000000000003,0.002762135864009952,2,0.06793543475049264,0.01536385966986134
4,paper,3,8054976080300763169,32,8,512,0.015625000000000003,0.015625000000000003,0.002762135864009952,2,0.06896287400589657,0.015765118690610817
4,paper,4,8054976080300763169,32,8,512,0.015625000000000003,0.015625000000000003,0.002762135864009952,2,0.06732697155073215,0.015066729344360553
4,paper,5,8054976080300763169,32,8,512,0.015625000000000003,0.015625000000000003,0.002762135864009952,2,0.0683644132660079,0.015349344251308511
4,paper,6,8054976080300763169,32,8,512,0.015625000000000003,0.015625000000000003,0.002762135864009952,2,0.06627944517858682,0.014982004262620708
4,paper,7,8054976080300763169,32,8,512,0.015625000000000003,0.015625000000000003,0.002762135864009952,2,0.06301737456220245,0.014570663990220565
4,paper,8,8054976080300763169,32,8,512,0.015625000000000003,0.015625000000000003,0.002762135864009952,2,0.07063872282432158,0.016393057804563755
4,paper,9,8054976080300763169,32,8,512,0.015625000000000003,0.015625000000000003,0.002762135864009952,2,0.06635922309738877,0.014986748693468225
4,paper,10,8054976080300763169,32,8,512,0.015625000000000003,0.015625000000000003,0.002762135864009952,2,0.06829420909647155,0.016059354222481167
